Do you go to the gym?,"How many days, on average, do you go to the gym in a week?",Financial incentives a,Messages that affirm your values a,Notifications to plan workouts a,Notifications to reflect on your number of gym visits per week a,Advice to increase your number of gym visits a,"If an artificial intelligence (AI) system were to make recommendations for increasing my gym attendance, I would listen to the AI’s advice.",I would like to change how often I engage in physical activity.,"How many days per week, on average, do you engage in physical activity?",Financial incentives b,Messages that affirm your values b,Notifications to plan workouts b,Notifications to reflect on your levels of physical activity per week b,Advice to increase your level of physical activity b,"If an artificial intelligence (AI) system were to make recommendations for increasing my levels of physical activity, I would listen to the AI’s advice.",I would like to change my current levels of physical activity,How old are you?,What is your gender?
No,,,,,,,,Agree,2,Extremely increase,Slightly increase,Somewhat increase,Somewhat increase,Slightly increase,Neither agree nor disagree,Agree,44,Female
No,,,,,,,,Agree,1,Moderately increase,Slightly increase,Not at all increase,Slightly increase,Somewhat increase,Disagree,Agree,37,Male
Yes,1,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Neither agree nor disagree,,,,,,,,,Agree,54,Male
Yes,2,Moderately increase,Moderately increase,Not at all increase,Not at all increase,Not at all increase,Disagree,,,,,,,,,Disagree,28,Male
Yes,5,Not at all increase,Slightly increase,Moderately increase,Slightly increase,Slightly increase,Strongly agree,,,,,,,,,Strongly disagree,40,Male
No,,,,,,,,Disagree,6,Not at all increase,Somewhat increase,Somewhat increase,Moderately increase,Slightly increase,Disagree,Disagree,61,Male
No,,,,,,,,Agree,3,Extremely increase,Somewhat increase,Somewhat increase,Moderately increase,Somewhat increase,Agree,Agree,52,Male
No,,,,,,,,Strongly agree,3,Extremely increase,Not at all increase,Not at all increase,Not at all increase,Slightly increase,Disagree,Strongly agree,32,Male
No,,,,,,,,Strongly agree,3,Extremely increase,Not at all increase,Slightly increase,Not at all increase,Somewhat increase,Neither agree nor disagree,Strongly agree,22,Male
No,,,,,,,,Strongly agree,2,Extremely increase,Moderately increase,Slightly increase,Moderately increase,Moderately increase,Agree,Strongly agree,27,Prefer not to say
No,,,,,,,,Strongly agree,1,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Slightly increase,Disagree,Strongly agree,55,Male
No,,,,,,,,Agree,0,Extremely increase,Somewhat increase,Slightly increase,Slightly increase,Slightly increase,Agree,Agree,28,Male
No,,,,,,,,Agree,1,Moderately increase,Slightly increase,Somewhat increase,Somewhat increase,Slightly increase,Neither agree nor disagree,Agree,36,Male
No,,,,,,,,Strongly agree,2,Extremely increase,Slightly increase,Somewhat increase,Somewhat increase,Somewhat increase,Agree,Strongly agree,32,Male
Yes,4,Extremely increase,Slightly increase,Slightly increase,Moderately increase,Somewhat increase,Neither agree nor disagree,,,,,,,,,Agree,22,Transgender female
No,,,,,,,,Agree,4,Moderately increase,Slightly increase,Not at all increase,Somewhat increase,Not at all increase,Strongly disagree,Agree,47,Male
No,,,,,,,,Agree,3,Extremely increase,Slightly increase,Slightly increase,Not at all increase,Not at all increase,Neither agree nor disagree,Agree,28,Male
Yes,1,Extremely increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,,,,,,,,,Agree,40,Male
Yes,3,Moderately increase,Not at all increase,Slightly increase,Somewhat increase,Slightly increase,Agree,,,,,,,,,Agree,52,Male
Yes,3,Extremely increase,Not at all increase,Slightly increase,Not at all increase,Slightly increase,Disagree,,,,,,,,,Neither agree nor disagree,21,Non-binary / genderqueer / non-conforming
